SbjCode,Country,Units,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BCA,India,U.S. dollars,3.4,6.344,14.082,-2.47,-9.901,-9.565,-15.736,-27.914,-38.437,-47.867,-78.2,-87.843,-32.257,-26.788,-22.086,-14.351,-48.662,-57.183,-24.549,24.011,-38.693,-66.962
BCA_NGDPD,India,Percent of GDP,0.688,1.211,2.277,-0.342,-1.187,-1.008,-1.27,-2.28,-2.815,-2.802,-4.29,-4.806,-1.737,-1.314,-1.05,-0.625,-1.835,-2.116,-0.866,0.899,-1.228,-1.975
NGDP_RPCH,Italy,Percent change,1.951,0.254,0.139,1.424,0.818,1.791,1.487,-0.962,-5.281,1.713,0.707,-2.981,-1.841,-0.005,0.778,1.293,1.668,0.926,0.483,-8.979,6.987,3.722
NGDPDPC,Italy,U.S. dollars,"20,505.92","22,386.28","27,580.48","31,342.83","32,031.43","33,448.11","37,828.34","40,818.99","36,982.81","35,815.62","38,276.03","34,743.75","35,534.99","35,836.18","30,463.70","31,190.79","32,648.76","34,917.56","33,628.16","31,784.81","35,717.38","34,084.52"
PPPSH,Italy,Percent,3.271,3.19,3.07,2.959,2.848,2.753,2.651,2.55,2.426,2.342,2.269,2.154,2.068,2.005,2.001,2.081,2.065,2.013,1.969,1.848,1.86,1.867
NID_NGDP,Italy,Percent of GDP,20.843,21.571,21.179,21.262,21.169,21.958,22.246,21.779,19.509,20.58,20.468,17.789,16.892,16.959,17.107,17.561,18.054,18.527,18.24,17.7,20.654,21.751
NGSD_NGDP,Italy,Percent of GDP,20.998,21.073,20.392,20.781,20.286,20.482,20.879,18.984,17.624,17.285,17.643,17.559,18.037,18.869,18.553,20.209,20.713,21.133,21.552,21.554,23.728,20.533
PCPIPCH,Italy,Percent change,2.324,2.612,2.813,2.257,2.207,2.229,2.025,3.492,0.765,1.62,2.935,3.315,1.245,0.234,0.108,-0.05,1.326,1.243,0.634,-0.145,1.941,8.736
TM_RPCH,Italy,Percent change,2.431,0.563,0.739,4.573,3.441,7.959,5.454,-4.024,-13.118,12.167,0.563,-8.119,-2.702,3.452,6.464,3.927,6.091,3.438,-0.7,-12.129,15.201,11.816
TX_RPCH,Italy,Percent change,2.571,-2.805,-1.298,6.13,3.217,8.31,6.197,-3.169,-17.817,11.762,5.42,2.032,0.374,2.615,4.274,1.866,5.436,2.142,1.574,-13.507,14.007,9.414
LUR,Italy,Percent of total labor force,9.1,8.608,8.45,8.033,7.758,6.867,6.2,6.792,7.867,8.5,8.583,10.892,12.35,12.792,12.033,11.717,11.3,10.608,9.9,9.342,9.517,8.117
LE,Italy,Persons,21.915,22.179,22.194,22.301,22.344,22.691,22.829,23.035,22.518,22.333,22.417,22.304,21.852,21.922,22.121,22.449,22.735,22.959,23.109,22.385,22.554,23.1
LP,Italy,Persons,56.961,56.993,57.186,57.612,58.044,58.289,58.511,59.002,59.421,59.69,59.948,60.105,60.277,60.346,60.295,60.164,60.067,59.938,59.817,59.641,59.236,59.03
GGR_NGDP,Italy,Percent of GDP,44.149,43.83,43.957,43.401,43.159,44.177,45.443,45.27,45.99,45.688,45.581,47.645,48.097,47.901,47.765,46.674,46.344,46.229,46.964,47.337,48.297,48.788
GGX_NGDP,Italy,Percent of GDP,47.34,46.7,47.174,46.88,47.242,47.794,46.784,47.834,51.111,49.928,49.174,50.59,50.952,50.855,50.317,49.078,48.763,48.394,48.472,56.993,57.315,56.744
GGXCNL_NGDP,Italy,Percent of GDP,-3.19,-2.869,-3.218,-3.479,-4.083,-3.617,-1.34,-2.564,-5.121,-4.24,-3.593,-2.945,-2.854,-2.954,-2.552,-2.404,-2.419,-2.165,-1.507,-9.656,-9.018,-7.956
GGSB_NPGDP,Italy,Percent of potential GDP,-4.223,-4.14,-4.606,-4.82,-4.776,-4.125,-2.895,-3.716,-3.94,-3.568,-3.832,-1.301,-0.241,-0.692,-0.158,-0.846,-1.286,-1.399,-0.71,-5.605,-4.78,-1.926
GGXONLB_NGDP,Italy,Percent of GDP,2.573,2.327,1.523,0.968,0.236,0.61,3.181,2.119,-0.913,-0.127,0.847,2.031,1.783,1.432,1.382,1.336,1.176,1.299,1.674,-6.401,-5.636,-3.768
